ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-225056,2,08/09/2021 17:37,08/09/2021 20:05,33.916425,-118.269578,33.917889,-118.265243,0.268,Stationary traffic from S San Pedro St to E 126th St due to accident.,298, E El Segundo Blvd,R,Los Angeles,Los Angeles,CA,90061-2357,US,US/Pacific,KHHR,08/09/2021 17:53,72,72,71,29.72,10,WNW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-225279,2,09/12/2021 11:57,09/12/2021 13:22,34.112956,-118.482256,34.100885,-118.477917,0.87,Incident on I-405 SB near BEL AIR CREST RD Drive with caution.,,I-405 S,R,Los Angeles,Los Angeles,CA,90077,US,US/Pacific,KSMO,09/12/2021 11:51,57,57,93,29.75,10,VAR,7,0.01,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-226122,2,19/10/2021 08:38,19/10/2021 10:50,34.003725,-118.286382,34.003764,-118.282105,0.245,Slow traffic from S Vermont Ave (W Vernon Ave) to I-110/S Grand Ave/S Flower St (W Vernon Ave) due to accident.,717, W Vernon Ave,R,Los Angeles,Los Angeles,CA,90037-2613,US,US/Pacific,KCQT,19/10/2021 08:52,58,58,62,29.84,10,VAR,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-226314,2,05/11/2021 13:20,05/11/2021 13:48,33.928495,-118.289676,33.928275,-118.286206,0.2,Stationary traffic from exit [7B] to I-105 E due to accident.,,Glenn Anderson Fwy E,R,Los Angeles,Los Angeles,CA,90044,US,US/Pacific,KHHR,05/11/2021 12:53,68,68,68,29.9,4,W,8,0,Haze,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-226718,2,03/11/2021 08:07,03/11/2021 08:30,34.04571,-118.205286,34.048458,-118.211488,0.403,Slow traffic from N Evergreen Ave (E Cesar E Chavez Ave) to I-5/I-10/Golden Hwy (E Cesar E Chavez Ave) due to accident.,2598, E Cesar E Chavez Ave,R,Los Angeles,Los Angeles,CA,90033-3004,US,US/Pacific,KCQT,03/11/2021 08:18,57,57,93,29.89,2,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-226944,2,17/12/2021 15:02,17/12/2021 17:42,33.962075,-118.282702,33.960009,-118.28198,0.149,Slow traffic from W 84th St to I-110 S due to accident.,500, W 84th St,L,Los Angeles,Los Angeles,CA,90044-5814,US,US/Pacific,KHHR,17/12/2021 14:53,66,66,36,30.03,10,WSW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-227239,2,18/09/2021 08:33,18/09/2021 11:42,34.133792,-118.275485,34.117517,-118.269711,1.172,Accident on Colorado St (I-5) from Los Feliz Blvd (I-5) to Golden State Fwy S - I-5 S.,,Golden State Fwy S,R,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,18/09/2021 08:52,63,63,78,29.87,10,CALM,0,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-227426,2,13/12/2021 15:16,13/12/2021 16:42,33.934804,-118.264613,33.934798,-118.26297,0.094,Incident on E 111TH ST near STANFORD AVE Expect long delays.,609, E 111th St,L,Los Angeles,Los Angeles,CA,90059-1513,US,US/Pacific,KHHR,13/12/2021 14:53,60,60,57,30,10,SE,5,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-229107,2,05/11/2021 13:20,05/11/2021 15:28,33.928379,-118.288911,33.928137,-118.284792,0.237,Stationary traffic from exit [7B] to S Figueroa St due to accident.,,Glenn Anderson Fwy E,R,Los Angeles,Los Angeles,CA,90044,US,US/Pacific,KHHR,05/11/2021 12:53,68,68,68,29.9,4,W,8,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-232480,2,07/12/2021 15:58,07/12/2021 18:08,33.958559,-118.231222,33.95741,-118.229918,0.109,Stationary traffic from E Manchester Ave to Calden Ave due to accident.,8669, S Alameda St,R,Los Angeles,Los Angeles,CA,90002-1542,US,US/Pacific,KHHR,07/12/2021 15:53,64,64,65,29.89,10,SE,6,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
