Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Supervisor District,Year,Contact,Contact Info
Lisa Haley & the Zydekats,"LA Choreographers & Dancers, Inc.",09/20/2015,1899-12-31T16:30:00.000,1899-12-31T18:30:00.000,"SP ♥ TriArt Festival, Ports O'Call Village","1199 Nagoya Way
San Pedro, CA 90731
(33.731254, -118.27765)",1,2015,Louise Reichlin,213-385-1171
Opa Opa,El Cariso Community Regional Park,07/13/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,El Cariso Park,"13100 Hubbard Street
Sylmar, CA 91342
(34.319383, -118.416865)",3,2019,Sandra Chapman,
The Eric Ekstrand Ensemble,Los Angeles County Department of Parks and Recreation,09/17/2016,1899-12-31T18:00:00.000,1899-12-31T22:00:00.000,West Creek Park,"24247 Village Circle W
Saugus, CA 91354",5,2016,Leah Ferrassoli,661-775-0823
Murphy's Flaw,Los Angeles County Department of Parks and Recreation,08/02/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Adventure County Park,"10130 Gunn Ave
Whittier, CA 90605
(33.943007, -118.0365)",4,2016,Dingo Cabral,562-698-7645
Double Batch Daddy,East Rancho Domingez Park- LAC Parks,07/05/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,East Rancho Dominguez Park,"15116 ATLANTIC AVE
COMPTON, CA 90221",2,2019,Yvette Maufas,
Jessica Fichot,Public Library,09/29/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Walnut Library,"21155 La Puente Rd
Walnut 91789
(34.025705, -117.843321)",1,2018,,
Orquesta Charangoa,Lummis Day Community Foundation,06/03/2018,1899-12-31T17:00:00.000,1899-12-31T18:00:00.000,Sycamore Grove Park,"4702 N Figueroa Street
Los Angeles 90042
(34.10023, -118.203755)",1,2018,,
Cuicani,Palos Verdes Library District,09/30/2017,2:00 PM,3:00 PM,Peninsula Center Library,"701 Silver Spur Road
Rolling Hills Estates, CA 90274
(33.770911, -118.369894)",4,2017,Laura Ishizaka,310-377-9584 ext. 215
Susie Hansen Latin Band,Lummis Day Community Foundation,06/07/2015,1899-12-31T16:30:00.000,1899-12-31T17:40:00.000,Sycamore Grove Park,"4700 N Figueroa
Los Angeles, CA 90065",1,2015,Jain Sekular,323-344-9955
Whiskey Sunday,Santa Clarita Shakespeare Festival,07/17/2016,1899-12-31T16:00:00.000,1899-12-31T21:00:00.000,Rivendale Park & Open Space,"24255 The Old Road
Santa Clarita, CA 91321
(34.357175, -118.554746)",5,2016,David Stears,661-799-3378
Blue Breeze Band,City of Duarte,07/10/2019,1899-12-31T18:30:00.000,8:30 PM,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.137459, -117.976472)",5,2019,Lupe Valerio,
Nancy Sanchez,Chet Holifield Library- LAC Libraries,08/08/2019,1900-01-02T14:00:00.000,1899-12-31T15:00:00.000,Chet Holifield Library,"1060 s Greenwood Ave
Montebello, CA 90640
(33.993638, -118.120195)",1,2019,Charmetria Marshall,
Mariachi Divas,City of El Monte,07/19/2017,6:30 PM,8:30 PM,Tony Arceo Memorial Park,"3125 Tyler Avenue
El Monte, CA 91731
(34.065046, -118.035905)",5,2017,Victoria Burl,626-580-2204
Big Papa and The TCB,Hacienda Heights Community Center,08/12/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Hacienda Heights Community Center,"1234 Valencia Ave
Hacienda Heights, CA 91745
(34.013261, -117.979267)",4,2016,Olivia Perea,626-333-3250
Finger Dancers,County of Los Angeles Public Library,09/09/2017,2:00 PM,3:00 PM,Norwalk Public Library,"12350 Imperial Hwy
Norwalk, CA 90650
(33.917078, -118.069236)",4,2017,Rama Shah,562-868-0775
The Hodads,Parks & Recreation,07/21/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Obregon Park,"4021 E 1st ST
East, LA 90063
(34.036429, -118.178366)",1,2018,,
The Kings of 88,Parks & Recreation,08/17/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights 91745
(34.002258, -117.960003)",4,2018,,
Andres Flores y Hijos de Jose,Bell Library,07/11/2015,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Bell Library-County of Los Angeles,"4411 E Gage Avenue
Bell, CA 90201
(33.97818, -118.1885)",1,2015,Gabriela Torres,323-560-2149
Susie Glaze New Folk Ensemble,City of La Mirada,07/11/2019,1899-12-31T10:00:00.000,1899-12-31T12:00:00.000,La Mirada Activity Center,"13810 La Mirada Blvd
La Mirada, CA 90638
(33.905427, -118.01175)",4,2019,Tammy Acosta,
Cuicani,McGroarty Arts Center,08/19/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,McGroarty Arts Center,"7570 McGroarty Terrace
Tujunga, CA 91042
(34.250669, -118.29777)",5,2016,Robyn Myers,818-352-0865
Marisa Rondstadt and the Know-It-Alls,El Sereno Community Arts,10/21/2017,3:00 PM,10:00 PM,Huntington Drive,"4976 Huntington Drive South
Los Angeles, CA 90032
(34.087801, -118.174224)",1,2017,Angie De La Torre,323-304-1232
Dale Fielder,Cudahy Library,07/20/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Cudahy Library,"5218 Santa Ana St
Cudahy, CA 90201
(33.959692, -118.174604)",1,2019,Jose Rivera,
Gloria Arjona,El Monte Library - LAC-Libraries,09/21/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,El Monte Library,"3224 Tyler Avenue
El Monte, CA 91731
(34.067072, -118.035976)",1,2019,Cheryl Gilera,
The Kings of 88,City of Duarte,07/18/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Duarte Park,"1344 Bloomdale Ave
Duarte 91010
(34.137459, -117.976472)",5,2018,,
Michael Haggins Group,County of Los Angeles Dept of Parks and Recreation,08/12/2017,6:00 PM,10:00 PM,Helen Keller Park,"12521 S Vermont Ave
Los Angeles, CA 90044
(33.918736, -118.291833)",2,2017,Jonathan Aguirre,323-241-6702
Mariachi Divas,City of El Monte,07/15/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Arceo Park,"3125 Tyler Avenue
El Monte, CA 91731
(34.065046, -118.035905)",1,2015,Amber Servin,626-258-8689
Mariachi Espectacular,City of Santa Fe Springs,07/26/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Heritage Park,"12100 Mora Drive
Santa Fe Springs, CA 90670
(33.94069, -118.075293)",4,2019,Leanne Iezza,
ADAAWE,Carver Park-LACO parks,07/26/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Carver Park,"1400 E 118th ST
Los Angeles, CA 90059
(33.926349, -118.251074)",2,2019,Susan Curry,
Hound Dog Dave and the Meltones,City of Norwalk Senior Center,08/22/2015,1899-12-31T13:00:00.000,1899-12-31T16:00:00.000,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.903928, -118.080644)",4,2015,Daniel Abrego,562-929-5580
Wildwood Highway,Los Angeles Choreographers and Dancers,09/25/2016,1899-12-31T16:30:00.000,1899-12-31T18:30:00.000,Ports O'Call,"1199 Nagoya Way
San Pedro, CA 90731
(33.731254, -118.27765)",4,2016,Louise Reichlin,213-385-1171
Mariachi Espectacular,City of Covina,10/28/2018,1899-12-31T12:00:00.000,1899-12-31T18:00:00.000,Forest Lawn - Covina Hills,"2133 Via Verde Drive
Covina 91724",5,2018,,
Adaawe,Lummis Day Community Foundation,06/04/2017,12:00 PM,7:00 PM,Sycamore Grove Park,"4802 North Figueroa Street
LA, CA 90042
(34.102144, -118.203081)",1,2017,Jain Sekuler,323-646-8331
Sgt. Pepper,County of Los Angeles Dept of Parks and Recreation,07/21/2017,6:30 PM,8:00 PM,Obregon Park,"4021 E 1st Street
Los Angeles, CA 90063
(34.036429, -118.178366)",1,2017,Mac Rodriguez Rodriguez,323-260-2360
Mariachi Divas,City of Cudahy,08/06/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Cudahy Park,"5220 Santa Ana Street
Cudahy, CA 90201
(33.959696, -118.174641)",1,2019,Victor Maria Santiago,
Yari More Latin Band,City of La Puente,08/01/2017,6:30 PM,8:30 PM,La Puente Park,"501 N Glendora Ave
La Puente, CA 91744
(34.026159, -117.951127)",1,2017,Angel Morales,(626) 8551558)
Louie Cruz Beltran,City of South Pasadena,08/09/2015,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115106, -118.147869)",4,2015,Anthony Kim,626-403-7382
Lisa Haley & the Zydekats,City of Torrance,08/17/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Wilson Park Amphitheater,"200 Crenshaw Blvd
Torrance, CA 90501",4,2019,Eve Rappoport,
Andres Flores y Los Hijos de Jose,Saybrook Park,07/25/2015,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Saybrook Park,"6250 East Northside Drive
Los Angeles, CA 90022",1,2015,Maria Chavez,323-724-8546
Lisa Haley and the Zydekats,Valley Cultural Center,07/28/2018,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,North Hollywood Park,"11430 Chandler Blvd
North Hollywood 91601
(34.168115, -118.380569)",3,2018,,
De'Anza Paredes,City of Bell,08/09/2018,1899-12-31T19:00:00.000,1899-12-31T20:00:00.000,Veterans' Memorial Park,"6500 Wilcox Ave
Bell 90201
(33.97586, -118.176823)",1,2018,,
Nancy Sanchez,City of San Gabriel,09/14/2018,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,San Gabriel Mission Playhouse,"320 S Mission Drive
San Gabriel 91776
(34.098528, -118.109198)",5,2018,,
Ricardo Lemvo and Makina Loca,Glendale Arts,09/14/2019,1899-12-31T15:00:00.000,1899-12-31T22:00:00.000,Brand Boulevard,"216 North Brand Boulevard
Glendale, CA 91203
(34.148787, -118.25496)",5,2019,Lauren Nearhoff,
The Jumpin' Joz Band,Downtown Pomona Owners Association,08/08/2015,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Officer Shaun Diamond Plaza,"201 W 2nd Street
Pomona, CA 91766
(34.057825, -117.751237)",4,2015,Linda Farman,909-469-1121
Mariachi Divas,City of La Puente,07/29/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,La Puente Park,"501 N Glendora Ave
La Puente, CA 91744
(34.026159, -117.951127)",1,2015,Angel Morales,626-855-1558
Upstream,City of South Pasadena,07/08/2018,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Garfield Park,"1000 Park Avenue
South Pasadena 91030
(34.115106, -118.147869)",5,2018,,
Carol Bach-y-Rita,Los Angeles County Museum of Art,07/27/2019,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",3,2019,Lauren Samchisen,
Michael Haggins Group,Adventure Park,08/18/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Adventure Park,"10130 Gunn Ave
Whittier, CA 90605
(33.943007, -118.0365)",3,2015,Dingo Cabral,562-698-7645
Gyasi Ross,La Crescenta Library,07/18/2015,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.224587, -118.240654)",1,2015,Marta Wiggins,818-248-5314
De'Anza,City of Cudahy,08/01/2017,6:00 PM,8:00 PM,Clara Expansion Park,"4835 Clara Street
Cudahy, CA 90201
(33.964997, -118.18132)",1,2017,Victor Santiago,(323) 773-5143
The Hodads,Los Angeles County Dept. of Parks and Recreation,07/18/2019,7:00 PM,9:00 PM,Pamela Park,"2236 Goodall Ave
Duarte, CA 91010
(34.12347, -117.994302)",5,2019,Esmeralda Fuentes,
Susie Hansen Latin Band,"City of South Pasadena, Community Services Department",08/07/2016,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115106, -118.147869)",5,2016,Anthony Kim,626-403-7382
Viento Callejero,City of Bell,08/25/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Treder Park,"6250 Pine Ave
Bell, CA 90201
(33.979983, -118.188847)",1,2016,Gabino C. Luna,323-773-1596
Blue Breeze Band,County of Los Angeles Department of Parks and Recreation,06/15/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Jackie Robinson Park,"8773 East Ave
Littlerock, CA 93543",5,2019,Regina Bradley,
Mariachi Espectacular,County of Los Angeles,07/11/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City Terrace Park,"1126 N Hazard Ave
Los Angeles, CA 90022
(34.049422, -118.179415)",1,2019,Doris Almore,
Incendio,Santa Clarita Shakespeare Festival,08/07/2017,5:00 PM,10:00 PM,Rivendale Park & Open Space,"24255 The Old Road
Santa Clarita, CA 91321
(34.357175, -118.554746)",5,2017,David Stears,661-799-3378
Sakura,Eagle Rock Community Cultural Association,10/05/2019,1899-12-31T20:00:00.000,1899-12-31T23:00:00.000,Center for the Arts Eagle Rock,"2225 Colorado Blvd
Los Angeles, CA 90041
(34.139261, -118.214975)",1,2019,Melinda Ann Farrell,
Floyd & the Flyboys,County of Los Angeles Dept of Parks and Recreation,07/08/2017,7:30 PM,9:30 PM,El Cariso Community Regoinal Park,"13100 Hubbard Street
Sylmar, CA 91342
(34.319383, -118.416865)",3,2017,Sandra Chapman,818-367-5043
Conjunto Jardin,City of Santa Fe Springs,08/04/2017,6:30 PM,8:30 PM,Heritage Park,"12100 Mora Drive
Santa Fe Springs, CA 90670
(33.94069, -118.075293)",4,2017,Leanne Iezza,(562) 946-6476
Conjunto Jardin,City of Lancaster,07/23/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Lancaster BLVD - Bandstand Stage,"706 W Lancaster Blvd
Lancaster, CA 93534
(34.697715, -118.142427)",5,2015,Angela Riley,661-723-6074
Street Corner Renaissance,City of San Fernando Inc.,08/18/2019,6:30 PM,8:30 PM,Recreation Park,"208 Park Ave
San Fernando, CA 91340
(34.281019, -118.434699)",3,2019,Virginia Diediker,
The Singer and The Songwriter,Pamela County Park,08/13/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pamela County Park,"2236 Goodall Avenue
Duarte, CA 91010
(34.12347, -117.994302)",5,2015,Irving Montenegro,626-821-4619 or 626-357-1619
Floyd & the Flyboys,Los Angeles County Department of Parks and Recreation,07/22/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Stephen Sorensen Park,"16801 East Avenue
Lake Los Angeles, CA 93591
(34.587212, -117.830297)",5,2016,Jeff Dorst,661-940-7701
Blue Breeze Band,Parks & Recreation,07/27/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Colonel Leon Washington PArk,"8908 S Maie Avenue
Los Angeles 90002
(33.956043, -118.244123)",2,2018,,
Incendio,City of Pomona,08/17/2019,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,City of Pomona Civic Center Plaza,"505 S Garey Avenue
Pomona, CA 91766
(34.054578, -117.75003)",1,2019,Monica Belloso,
Double Batch Daddy,Public Library,09/15/2018,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,La Verne Library,"3640 D St
La Verne 91750
(34.111779, -117.765785)",5,2018,,
El-Haru Kuroi,"El Sereno Community Arts, a project of Community Partners",10/22/2016,1899-12-31T14:00:00.000,1899-12-31T21:00:00.000,Huntington Drive- one city block,"1000 N Alameda Street
Los Angeles, CA 90032
(34.059473, -118.236767)",1,2016,Angie De La Torre,323-304-1232
Nancy Sanchez,City Terrace Library,09/20/2017,4:00 PM,5:00 PM,City Terrace Library,"4025 E City Terrace Drive
Los Angeles, CA 90063
(34.055694, -118.178146)",1,2017,Gabriela Torres,323-261-0295
Lucky Diaz,Public Library,07/30/2018,1899-12-31T15:30:00.000,1899-12-31T16:30:00.000,Topanga Library,"122 N Topanga Cyn Blvd
Topanga 90290
(34.090139, -118.604016)",3,2018,,
Dale Fielder Quartet/Consensus,County of Los Angeles Department of Parks and Recreation,07/06/2019,1899-12-31T18:00:00.000,9:00 PM,George Lane Park,"5520 W Ave
Quartz Hill, CA 93536
(34.645619, -118.227974)",5,2019,Regina Bradley,
Conjunto Jardin,East Rancho Park,08/22/2015,1899-12-31T13:00:00.000,1899-12-31T15:00:00.000,East Rancho Park,"15116 S Atlantic Blvd
Compton, CA 90221
(33.895348, -118.193301)",1,2015,Louie Guerrero,310-217-8376
The Hodads,Norwalk Senior Center,08/30/2018,1899-12-31T17:00:00.000,1899-12-31T20:00:00.000,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk 90650
(33.903928, -118.080644)",4,2018,,
ADAAWE,Community Partners FBO LA Commons,06/26/2016,1899-12-31T19:00:00.000,1899-12-31T20:00:00.000,Leimert Park Plaza and Park,"4343 Leimert Blvd
Los Angeles, CA 90008
(34.004409, -118.330616)",2,2016,Mamie Funahashi,213-346-3202
OPA OPA,City of Pico Rivera,07/12/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Pico Rivera Senior Center,"9200 Mines Avenue
Pico Rivera 90660
(33.990126, -118.086423)",1,2018,,
Conjunto Los Pochos,Roosevelt Park,07/30/2015,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Roosevelt Park,"7600 Graham Avenue
Los Angeles, CA 90001
(33.970204, -118.243026)",1,2015,Charlotte Robinson-Perkins,323-586-7217
Susie Hansen Latin Band,County of Los Angeles Dept of Parks and Recreation,09/03/2017,5:00 PM,8:00 PM,Whittier Narrows Recreation Area,"823 Lexington Gallatin Rd
South El Monte, CA 91733
(34.036331, -118.051912)",1,2017,Louie Guerrero,(626) 575-5526
Michael Haggins Group,Jesse Owens park,07/13/2017,6:00 PM,8:00 PM,Jesse Owens Park,"9651 S Western Ave
LA, CA 90047
(33.946143, -118.309002)",4,2017,Reggie Hamilton,323-241-6704
Wildwood Highway,South Whittier Library,07/22/2017,1:00 PM,2:00 PM,South Whittier Library,"11543 Colima Rd
Whittier, CA 90604
(33.926287, -118.023537)",4,2017,Oscar Villagomez,562-946-4415
Louie Cruz Beltran,Los Angeles Choreographers and Dancers Inc.,09/22/2019,1899-12-31T16:15:00.000,1899-12-31T18:15:00.000,Outside site/San Pedro,,2,2019,Louise Reichlin,
Susie Hanson Latin Band,City of Inglewood,09/15/2018,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Crozier Middle School,"120 W Regent Street
Inglewood 90301
(33.964416, -118.355631)",2,2018,,
Gloria Arjona,LA County Dept. of Parks and Recreations,07/19/2019,1899-12-31T18:00:00.000,1899-12-31T20:30:00.000,Allen J Martin Park,"14830 Giordano St
La Puente, CA 91744
(34.040196, -117.961696)",1,2019,Vanessa De LA cruz,
Lucky Diaz and The Family Jam Band,Mortimer & Mimi Levitt Foundation,08/20/2017,6:30 PM,8:00 PM,Levitt Pavilion Los Angeles at MacArthur Park,"2230 W 6th St
LA, CA 90057
(34.060206, -118.276395)",1,2017,Sharon Yazowski,(213) 201-6109
Ricardo Levmo y La Makina Loca,City of Paramount,07/05/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Progress Park,"15500 Downey ave
Paramount 90723
(33.891666, -118.15133)",4,2018,,
Dale Fielder Quartet,Museum Associates dba LA County Museum of Art,08/05/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",3,2016,Claire Kim-Shin,323-857-6115
