id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_year
43318,https://www.airbnb.com/rooms/43318,20211205213202,2021-12-06,Arts District Private Room 212,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Description/ your place <br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  Sogo Residence is a historic brick building that has served Los Angeles travelers for over 100 years. Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location, and are com","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/938a66db-d66b-46aa-b9af-3f35de018e11.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04828,-118.23605,Private room in hostel,Private room,1,,11 shared baths,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Oven"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$46.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,0,19,49,324,2021-12-06,89,3,0,2014-09-14,2021-03-26,4.37,4.49,4.24,4.71,4.77,4.7,4.56,,f,15,0,15,0,1.01,2017
135608,https://www.airbnb.com/rooms/135608,20211205213202,2021-12-06,Arts District Private Room 226,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. <br /><br />Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Description/ your place <br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  Sogo Residence is a historic brick building that has served Los Angeles travelers for over 100 years. Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location,","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/e5c77397-9dee-4aeb-ba87-365994530a61.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04827,-118.23603,Private room in hostel,Private room,1,,11 shared baths,,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Oven"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$50.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,,t,5,22,52,327,2021-12-06,94,12,1,2014-01-22,2021-11-11,4.43,4.59,4.36,4.62,4.68,4.53,4.5,,f,15,0,15,0,0.98,2017
164946,https://www.airbnb.com/rooms/164946,20211205213202,2021-12-06,Arts District Private Room 234,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Description/ your place <br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  Sogo Residence is a historic brick building that has served Los Angeles travelers for over 100 years. Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location, and are com","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/1f3f05b9-c7f1-4211-bd6b-d26cb718bfb6.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04827,-118.23603,Private room in hostel,Private room,1,,11 shared baths,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$47.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,,t,5,35,65,340,2021-12-06,59,9,3,2011-10-02,2021-11-20,4.29,4.32,4.18,4.5,4.41,4.48,4.39,,f,15,0,15,0,0.48,2017
393966,https://www.airbnb.com/rooms/393966,20211205213202,2021-12-06,Historical Arts District,"Come stay in the India room in the heart of the famous Arts district<br /><br /><b>The space</b><br />Stay in the India room in an artists loft, close to Union Station and Disney Concert Hall. Private room with queen size bed, sleeps 1 .kitchen access, largr bathroom. Laundry facilities available in the building, cafes, bars and lots of yummy food in walking distance. Free Wifi available. The bed is memory foam :)<br /><br /><b>Guest access</b><br />All common areas<br /><br /><b>Other things to note</b><br />There is not a hard door to the room<br />Sometimes a kitty comes to visit. Please let me know if you have any allergies. The space is shared with three other people all artists :-)",Amazing Murals and cafe's all around.,https://a0.muscache.com/pictures/4422057/58132761_original.jpg,1969645,https://www.airbnb.com/users/show/1969645,Tiger,2012-03-19,"Los Angeles, California, United States","I'm an actress, poet and compassion seeker. I love my neighborhood and my loft. 

",within a day,100%,,f,https://a0.muscache.com/im/users/1969645/profile_pic/1332198307/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1969645/profile_pic/1332198307/original.jpg?aki_policy=profile_x_medium,Arts District,1.0,1.0,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']",t,t,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04805,-118.23797,Private room in loft,Private room,1,,1 shared bath,1.0,1.0,"[""Heating"", ""Microwave"", ""Coffee maker"", ""Elevator"", ""Host greets you"", ""Dishes and silverware"", ""TV"", ""Air conditioning"", ""Essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Free street parking"", ""Refrigerator"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed"", ""Hot water"", ""Kitchen""]",$58.00,30,30,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,4,34,309,2021-12-06,272,0,0,2017-02-11,2020-08-03,4.86,4.85,4.8,4.86,4.9,4.86,4.87,,t,1,0,1,0,4.64,2012
499612,https://www.airbnb.com/rooms/499612,20211205213202,2021-12-06,"En Vogue Modern Loft DTLA, Arts District","This is a spacious and modern loft in the heart of the Arts District, fully furnished with authentic parts of movie and TV shows sets. Original early-1900s loft architectural details including heavy timber beams, columns, pipes and wood floor.<br /><br /><b>The space</b><br />All the amenities are included: <br />- Kitchen has quartz counter-tops, dishwasher and garbage disposal. <br />- 1 bathroom with quartz counter-top and over-sized soaking tub paneled by glass door. <br />- Laundry closet with washer and dryer. <br />- High speed internet WIFI.<br />- 55' LED TV with access to on demand movies and TV shows library.<br /><br /><b>Guest access</b><br />You will access: <br />- Rooftop with pool, spa, fireplaces, bbq, private cabanas and lounge chairs overlooking the skyline. <br />- Fitness center with floor-to-ceiling city views. <br />- Landscaped courtyard featuring a water garden, decorative lighting, fireplace and seating areas for dining and conversation. <br /><br />All the a","The Arts District is today the center of the arts and cultures who are influencing and renewing all the City of Angels. The loft is across the street from the Urth cafe' and all the attractions within the Arts District and Little Tokio including museums, music center, theaters, pubs and restaurants. You can go shopping to the coolest and trendiest shops now in town such as Dover Street Market, Warby Parker, Poketo, Hennessey + Ingalls...all walking distance, or grab a coffee at the Cafe' Gratitude, Groundwork Coffee, Blacktop Coffee or Blue Bottle Coffee. If you wanna have some bites, Urth is always open for you and you can also walk to Pie Hole, Wurstkuche, LoQui, Eat Drink Americano, Frizzi, the Little Bear and the Daily Dose Cafe. Also you'd be lucky to stay close by the most renowned restaurants in town such as Bestia, Kitchen Factory, Officine Brera, Sixth and Mill, Cha Cha Cha, Bavel, Manuela, Church and State, and Zinc. Pubs? No worries...The Resident, Death & Co., Tony's Saloon",https://a0.muscache.com/pictures/miso/Hosting-499612/original/19ab442a-6c94-4647-aa16-4c817a5d32b5.jpeg,2465559,https://www.airbnb.com/users/show/2465559,Riccardo,2012-05-25,"Los Angeles, California, United States","Hi!
My name is Riccardo. I am Italian from Milan and I moved here in Los Angeles in 2005.
I simply love this city. Los Angeles always made me feel free, happy and since I am here in Downtown, more balanced.
Because I grew up and have been raised in a city like Milan, after few years I started to miss the authenticity of this city and finally I found it here in Downtown LA! 
I always love to share my place and my free time with all my friends and, I can tell being here helps a lot.
I work in the entertainment industry, I frequently leave for days or weeks and for this reason I can share my place with cool people that are visiting here.  That would be my blessing to welcome you to DTLA and to experience  the core of the City of the Angels.",within a few hours,80%,67%,f,https://a0.muscache.com/im/pictures/user/815fdc5a-704a-4335-9a17-eaf7855fd7f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/815fdc5a-704a-4335-9a17-eaf7855fd7f8.jpg?aki_policy=profile_x_medium,Arts District,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04045,-118.2335,Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,"[""Free parking on premises"", ""Cleaning before checkout"", ""Shampoo"", ""Beach essentials"", ""Dishes and silverware"", ""TV"", ""Bed linens"", ""Stove"", ""Oven"", ""Baking sheet"", ""Refrigerator"", ""Shared pool"", ""Dryer"", ""Dining table"", ""Hot water"", ""Microwave"", ""Elevator"", ""Hair dryer"", ""Cooking basics"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Hot water kettle"", ""Dishwasher"", ""Iron"", ""Gym"", ""Smoke alarm"", ""Bread maker"", ""BBQ grill"", ""Outdoor furniture"", ""Board games"", ""Room-darkening shades"", ""Laundromat nearby"", ""Single level home"", ""Kitchen"", ""Heating"", ""Coffee maker"", ""Paid parking off premises"", ""Toaster"", ""Air conditioning"", ""Extra pillows and blankets"", ""Backyard"", ""Essentials"", ""Wifi"", ""Fire pit"", ""Outdoor shower"", ""Long term stays allowed"", ""Cleaning products"", ""Freezer"", ""Shared hot tub"", ""Clothing storage: closet"", ""Hangers"", ""Dedicated workspace"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free street parking"", ""Bathtub""]",$166.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,30,44,44,293,2021-12-06,13,1,0,2012-07-29,2021-11-01,4.85,5.0,4.77,5.0,5.0,4.77,4.42,,f,1,1,0,0,0.11,2012
797642,https://www.airbnb.com/rooms/797642,20211205213202,2021-12-06,Arts District Private Room 216,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  The Sogo Hotel is a historic brick building that has served Los Angeles travelers for over 100 years.  Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location, and are comfortable living in an older h","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/ea706407-78b1-4e9a-9589-86725ac4e37f.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04827,-118.23603,Private room in hostel,Private room,1,,11 shared baths,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$50.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,25,55,85,360,2021-12-06,40,9,1,2021-06-14,2021-11-22,4.38,4.5,4.15,4.43,4.65,4.73,4.33,,f,15,0,15,0,6.82,2017
797694,https://www.airbnb.com/rooms/797694,20211205213202,2021-12-06,Arts District Private Room 227,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />.Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  Sogo Residence is a historic brick building that has served Los Angeles travelers for over 100 years.  Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location, and are comfortable living in an older ","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/caff9f04-b0c4-4482-8c8e-ee55c84d8be7.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04827,-118.23603,Private room in hostel,Private room,1,,11 shared baths,,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$46.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,11,41,71,346,2021-12-06,47,8,2,2014-11-17,2021-11-21,4.3,4.35,4.24,4.61,4.52,4.78,4.48,,f,15,0,15,0,0.55,2017
808721,https://www.airbnb.com/rooms/808721,20211205213202,2021-12-06,Arts District Private Room 108 with bunkbed,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  The Sogo Hotel is a historic brick building that has served Los Angeles travelers for over 100 years.  Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a simple, inexpensive place to stay in an excellent location, and are comfortable living in an older histori","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/1b11c044-3811-4678-9e12-83364a65905b.jpg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04917,-118.23561,Private room in hostel,Private room,2,,11 shared baths,1.0,2.0,"[""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$49.00,3,28,3.0,3.0,28.0,28.0,3.0,28.0,,t,14,44,74,349,2021-12-06,41,9,1,2020-10-14,2021-09-05,4.46,4.41,4.44,4.78,4.76,4.68,4.37,,f,15,0,15,0,2.94,2017
821996,https://www.airbnb.com/rooms/821996,20211205213202,2021-12-06,Arts District Room 110 (unfurnished),"Best value in exciting Arts District!  Walk to the Gold Line, Little Tokyo, Arts District.  Near public transport, great restaurants. Private room, shared bath and kitchen cleaned daily.  Must bring own furniture. Friendly international vibe!<br /><br /><b>The space</b><br />Due to demand, we only respond to fully verified guests who provide a clear profile photo, full name, age, name of current employer and/or school, and descriptive purpose of visit.  Thank you for your understanding.<br /><br />Live in in the heart of Little Tokyo and the Arts District with other international travelers and visitors!  Clean, convenient, and inexpensive.  You won't find a better deal in LA.<br /><br />Dorm room available for minimum four days, long term stays encouraged.  Rooms come with closet, sink.  Please bring your own furniture including bed. Fully furnished rooms are also available, please see our other listings.<br /><br />LENGTH OF STAY - We generally accept reservations of 30 days maximum l","LOCATION: Live in the heart of Little Tokyo, in downtown Los Angeles. Located on First and Hewitt, the Sogo Hotel is only two blocks from the Little Tokyo Gold Line metro stop and on the same block as the downtown Dash A line. Major freeways are very close.",https://a0.muscache.com/pictures/12192995/745ce1ae_original.jpg,57161,https://www.airbnb.com/users/show/57161,Jefferson,2009-11-24,"Los Angeles, California, United States",Love to travel and eat!,,,,f,https://a0.muscache.com/im/users/57161/profile_pic/1293652186/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/57161/profile_pic/1293652186/original.jpg?aki_policy=profile_x_medium,Arts District,27.0,27.0,"['email', 'phone', 'reviews', 'manual_offline']",t,t,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04778,-118.23537,Private room in hostel,Private room,1,,11 shared baths,,1.0,"[""Washer"", ""Heating"", ""Lockbox"", ""Cooking basics"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Security cameras on property"", ""Kitchen""]",$41.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,5,280,2021-12-06,18,6,0,2015-05-15,2021-10-11,4.28,4.28,4.0,4.72,4.72,4.22,4.39,,f,9,2,7,0,0.23,2009
899872,https://www.airbnb.com/rooms/899872,20211205213202,2021-12-06,Arts District Private Room 218,"Best value in most exciting part of DTLA!  Walk to Arts District, Little Tokyo, Gold Line.  Near public transport, great restaurants & shopping. Private UNFURNISHED rooms with shared bath and kitchen cleaned daily.  Friendly international vibe!<br /><br />Interested guests must be fully verified with clear profile photo.  Message host with full name, age, detailed reason for visit, employer, university affiliation, and confirmation that you have read full description and reviews of unit.<br /><br /><b>The space</b><br />Live in in the heart of Little Tokyo and the Arts District with other international travelers, visitors, and residents!  Sogo Residence is a historic brick building that has served Los Angeles travelers for over 100 years.  Rooms are SRO dormitory-style: rooms are locked and private but bathroom and kitchens are shared.<br /><br />While it's not fancy, if you are looking for a basic simple, inexpensive place to stay in an excellent location, and are comfortable living i","Little Tokyo is the most vibrant area of downtown Los Angeles, with authentic Japanese eateries, markets, and stores.  Don't miss Sushi Gen for sushi or Daikokuya for ramen.  The Arts District is nearby as well, with plenty of cafes, art galleries, and street art to view, as well as some of the best restaurants in LA.  Favorites include Bestia and Manuela, and Salt & Straw for ice cream.",https://a0.muscache.com/pictures/miso/Hosting-899872/original/5acb8040-2c64-4ec9-bb09-140e4e58acbe.jpeg,156094545,https://www.airbnb.com/users/show/156094545,Sogo,2017-10-24,US,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,18.0,18.0,"['email', 'phone']",f,f,"Los Angeles, California, United States",Downtown,City of Los Angeles,34.04827,-118.23603,Private room in hostel,Private room,1,,11 shared baths,1.0,1.0,"[""Dishes and silverware"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Cooking basics"", ""Smoke alarm"", ""Security cameras on property"", ""Heating"", ""First aid kit"", ""Paid parking off premises"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$50.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,,t,29,59,89,364,2021-12-06,14,9,1,2021-09-15,2021-11-17,3.93,4.14,4.0,4.36,4.36,4.0,4.14,,f,15,0,15,0,5.06,2017
