Performing Artist,clean_name
Aaron & Jane Music,Aaron & Jane Music
Abdo Dagher Ensemble,Abdo Dagher Ensemble
Acoustic Asylum,Acoustic Asylum
ADAAWE,Adaawe
Adaawe,Adaawe
Adelaid,Adelaid
Adelaide Pilar,Adelaid
Aileen Quinn and the Leapin' Lizards,Aileen Quinn and the Leapin' Lizards
Alison Lewis Band-4,Alison Lewis Band-4
Allensworth,Allensworth
Along for the Ride,Along for the Ride
Andres Flores y Hijos de Jose,Andres Flores y Los Hijos de Jose
Andres Flores y Los Hijos de Jose,Andres Flores y Los Hijos de Jose
Arohi Ensemble,Arohi Ensemble
Big Papa & the TCB,Big Papa and The TCB
Big Papa and The TCB,Big Papa and The TCB
Big Papa and the TCB,Big Papa and The TCB
Billy Mitchell & Circle of Friends,Billy Mitchell & Circle of Friends
Blue Breeze Band,Blue Breeze Band
Bobby Matos Afro Latin Jazz Ensemble,Bobby Matos Afro Latin Jazz Ensemble
Boogaloo Assasins,Boogaloo Assassins
Boogaloo Assassins,Boogaloo Assassins
Boy Katindig & Friends,Boy Katindig & Friends
Brasil Brazil,Brasil Brazil Show
Brasil Brazil Show,Brasil Brazil Show
Buyepongo,Buyepongo
California Feet Warmers,California Feet Warmers
California Feetwarmers,California Feet Warmers
Carbe and Durand From Incendio,Carbe and Durand From Incendio
Carol Bach y Rita,Carol Bach y Rita
Carol Bach Y Rita,Carol Bach y Rita
Carol Bach-y-Rita,Carol Bach y Rita
Carolina Hoyos,Carolina Hoyos
Chris Ho Band,Chris Ho Band
Chuck Johnson's Interplay,Chuck Johnson's Interplay
Chuck Johnson/CJS Ouintet,Chuck Johnson's Interplay
Chuck Johnson/CJS Quartet,Chuck Johnson's Interplay
Ciro Hurtado Group,Ciro Hurtado Group
City of Angels Saxophone Quartet,City of Angels Saxophone Quartet
COASQ,COASQ
Conganas,Conganas
Conjunto Jardín,Conjunto Jardin
Conjunto Jardin,Conjunto Jardin
Conjunto Los Pochos,Conjunto Los Pochos
Conjunto Oye,Conjunto Oye
Cuñao,Cunao
Cuicani,Cuicani
Cunao,Cunao
Dale Fielder,Dale Fielder Quartet
Dale Fielder Quartet,Dale Fielder Quartet
Dale Fielder Quartet/Consensus,Dale Fielder Quartet
Dawn Norfleet,Dawn Norfleet
Dawn Norlfeet,Dawn Norfleet
De'Anza,De'Anza
De'Anza Paredes,De'Anza
Delta Nove,Delta Nove
Domingosiete,Domingosiete
Double Batch Daddy,Double Batch Daddy
El Haru Kuroi,El Haru Kuroi
El-Haru Kuroi,El Haru Kuroi
Eric Ekstrand Ensemble,Eric Ekstrand Ensemble
Evan Brown,Evan Brown
Filipino American Symphony Orchestra (FASO),Filipino American Symphony Orchestra (FASO)
Finger Dancers,Finger Dancers
Flogging Seagulls,Flogging Seagulls
Floyd & the Flyboys,Floyd and the Flyboys
Floyd and the Flyboys,Floyd and the Flyboys
George Sarah Ensemble,George Sarah Ensemble
Gloria Arjona,Gloria Arjona
Gyasi Ross,Gyasi Ross
Hodads,Hodads
Hound Dog Dave and the Meltones,Hound Dog Dave and the Meltones
Iliana Rose Band,Iliana Rose Band
INCA The Peruvian Music and Dance Ensemble,INCA The Peruvian Music and Dance Ensemble
"Inca, Peruvian Ensemble",INCA The Peruvian Music and Dance Ensemble
"INCA, the Peruvian Ensemble",INCA The Peruvian Music and Dance Ensemble
Incendio,Incendio
Invisible Poet Kings,Invisible Poet Kings
Jack's Cats,Jack's Cats
Jason Arimoto,Jason Arimoto
Jelly of the Month Club,Jelly of the Month Club
Jessica Fichot,Jessica Fichot
Jumpin' Joz Band,Jumpin' Joz Band
Jungle Fire,Jungle Fire
Kátia Moraes & Brazilian Hearts,Kátia Moraes & Brazilian Hearts
Kenny Sara & The Sounds of New Orleans,Kenny Sara & The Sounds of New Orleans
"Kings of 88, The","Kings of 88, The"
Klezmer Juice Band,Klezmer Juice Band
Kotolan,Kotolan
L.A. Blue Casters,L.A. Blue Casters
LA Bluescasters,L.A. Blue Casters
Lady COCO & Rhythm N Black,Lady COCO & Rhythm N Black
Lao Tizer,Lao Tizer Band
Lao Tizer Band,Lao Tizer Band
Lisa Haley & the Zydekats,Lisa Haley and the Zydekats
Lisa Haley & The Zydekats,Lisa Haley and the Zydekats
Lisa Haley and the Zydekats,Lisa Haley and the Zydekats
Louie Cruz Beltran,Louie Cruz Beltran
Lucky Diaz,Lucky Diaz
Lucky Diaz and The Family Jam Band,Lucky Diaz
Maggie McClure,Maggie McClure
Mahadev,Mahadev
Malynda Hale,Malynda Hale
Maria de la Vega & the Wayward Five,Maria de la Vega and The Wayward Five
Maria de la Vega and The Wayward Five,Maria de la Vega and The Wayward Five
Maria del Pilar,Maria del Pilar
Mariachi Divas,Mariachi Divas
Mariachi Espectacular,Mariachi Espectacular
Marisa Rondstadt and the Know-It-Alls,Marisa Rondstadt and the Know-It-Alls
Marisa Ronstadt & The Know it Alls,Marisa Rondstadt and the Know-It-Alls
Marisa Ronstadt & The Know-It-Alls,Marisa Rondstadt and the Know-It-Alls
Marisa Ronstadt & the Know-It-Alls,Marisa Rondstadt and the Know-It-Alls
"Mark ""Pocket"" Goldberg","Mark ""Pocket"" Goldberg"
Masanga Marimba,Masanga Marimba
Mestizo Beat,Mestizo Beat
Michael Haggins band,Michael Haggins band
Michael Haggins Band,Michael Haggins band
