title,url,price,photo?,bedrooms,dogs,cats
"Looking for an upgrade? BIG 2x2 w/ pools, fitness center, spa, & more",https://losangeles.craigslist.org/wst/apa/d/culver-city-looking-for-an-upgrade-big/7470161360.html,"3,231",yes,2BR,True,True
************** FULLY RENOVATED TOWNHOUSE BACKHOUSE IN LITTLE ARMENIA,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fully-renovated-townhouse/7467499719.html,"3,500",yes,3BR,True,True
************** FULLY RENOVATED TOWNHOUSE BACKHOUSE IN LITTLE ARMENIA,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fully-renovated-townhouse/7467499423.html,"3,500",yes,3BR,True,True
"BACKHOUSE 2 BEDS 1 BATH, ACCESS TO POOL,ALL UTILITIES PAID, PET OK",https://losangeles.craigslist.org/sfv/apa/d/van-nuys-backhouse-beds-bath-access-to/7469296479.html,"2,500",yes,2BR,True,True
"1B/1B, Resident social lounge, Elevator access",https://losangeles.craigslist.org/lgb/apa/d/long-beach-1b-1b-resident-social-lounge/7468417576.html,"2,341",yes,1BR,False,False
"COZY 1 BED 1 BATH GUESTHOUSE IN GLENDALE, POOL,AC.ALL UTILITIES PAID",https://losangeles.craigslist.org/sfv/apa/d/glendale-cozy-bed-bath-guesthouse-in/7467434354.html,"1,995",yes,1BR,True,True
"Remodeled 3 bed, 2.75 Bath townhome with hardwood floors!!",https://losangeles.craigslist.org/sfv/apa/d/canyon-country-remodeled-bed-275-bath/7470161150.html,"3,249",yes,3BR,True,True
"GORGEOUS NEW BUILT 3 BEDS 3 BATHS, WASHER DRYER, CENTRAL AC, PET OK",https://losangeles.craigslist.org/sfv/apa/d/pacoima-gorgeous-new-built-beds-baths/7467499830.html,"3,595",yes,3BR,True,True
"GORGEOUS TOWNHOUSE,CENTRAL AC, WD FLR, SS APPLS, WASHER DRYER IN UNIT",https://losangeles.craigslist.org/lac/apa/d/los-angeles-gorgeous-townhousecentral/7467499910.html,"3,995",yes,3BR,True,True
"COZY 1 BED 1 BATH GUESTHOUSE IN GLENDALE, POOL,AC.ALL UTILITIES PAID",https://losangeles.craigslist.org/sfv/apa/d/glendale-cozy-bed-bath-guesthouse-in/7467500045.html,"1,995",yes,1BR,True,True
"*GORGEOUS CONDO, SS APPLS, WD FLR, WASHER DRYER, CENTRAL AC, FIREPLACE",https://losangeles.craigslist.org/sfv/apa/d/montrose-gorgeous-condo-ss-appls-wd-flr/7467432894.html,"2,895",yes,2BR,True,True
"FULLY RENOVATED HOME,SS APPLS,CENTRAL AC,QUARTZ COUNTER,WASHER DRYER",https://losangeles.craigslist.org/sfv/apa/d/pacoima-fully-renovated-homess/7467432601.html,"3,495",yes,3BR,True,True
"LUXURY TOWNHOUSE, NEWLY BUILT, 5107 HAROLD WAY 90027, WASHER DRYER",https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-townhouse-newly/7467426658.html,"3,995",yes,3BR,True,True
Single Family House For Rent; Credit score not required 3bd/2bath,https://losangeles.craigslist.org/wst/apa/d/los-angeles-single-family-house-for/7470161075.html,"2,250",yes,3BR,True,True
"RENOVATED TOWNHOUSE, 2 CAR ATTACHED GARAGE, BALCONY, NEW AC,",https://losangeles.craigslist.org/sfv/apa/d/sylmar-renovated-townhouse-car-attached/7467426534.html,"3,500",yes,3BR,True,True
*****************FULLY RENOVATED TOWNHOUSE BACKHOUSE IN LITTLE ARMENIA,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fully-renovated-townhouse/7467424277.html,"3,500",yes,3BR,True,True
